Radius,Index,Filename,Distance,Link
20,53,32138.jpg,16.353303863844772,20,http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg
20,55,5891.jpg,16.664044098619193,20,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg
20,56,38630.jpg,17.957438239836662,20,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg
20,57,4943.jpg,15.932061916043976,20,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg
20,58,11188.jpg,19.42662935092849,20,http://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg
20,59,10866.jpg,16.1705906892545,20,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg
20,61,15528.jpg,16.57582022301316,20,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg
20,62,45258.jpg,19.450741616626527,20,http://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg
20,64,22198.jpg,17.64378268979802,20,http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg
20,65,29570.jpg,19.571438853323244,20,http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg
20,66,43993.jpg,18.95473413220512,20,http://assets.myntassets.com/v1/images/style/properties/438c41900a80acabb3ef197f0559a9eb_images.jpg
20,68,54924.jpg,16.82651454159273,20,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg
20,69,26538.jpg,19.397201679110378,20,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg
20,70,35913.jpg,19.829661910931506,20,http://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg
20,71,49495.jpg,19.10882993653008,20,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg
20,72,9660.jpg,12.914726530770249,20,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg
20,74,23876.jpg,12.7092930458422,20,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg
20,75,18237.jpg,14.50313677422991,20,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg
